# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11992
#@/user_id	Family-Windows11
a 	啊	c=124 d=2.86226 t=11992
guan ji yu chong qi 	關機與重啓	c=1 d=1 t=1816
guan jian 	關鍵	c=2 d=1 t=6217
guan li 	管理	c=2 d=1.01402 t=11342
guan li qi 	管理器	c=1 d=1 t=1679
guan li yuan 	管理員	c=4 d=1.00057 t=1822
guan lian 	关联	c=1 d=1 t=11359
guan lian 	關連	c=1 d=1 t=11354
guan ta 	管他	c=0 d=0.1 t=5180
guan wang 	官網	c=1 d=1 t=9702
guan wang 	管網	c=1 d=1 t=9700
guan xi 	關係	c=1 d=0.878095 t=11992
guan xi dai shu 	關係代數	c=1 d=0.0137736 t=11992
guan zhu 	關注	c=1 d=1 t=3840
guang 	光	c=2 d=1.00137 t=10510
guang 	廣	c=0 d=0.1 t=2537
guang dian 	光電	c=0 d=0.1 t=5690
guang dian yuan 	光電園	c=3 d=1.00041 t=8182
gui 	貴	c=1 d=1 t=7964
gui 	鬼	c=0 d=0.1 t=6497
gui dang 	歸檔	c=2 d=1.00214 t=9864
gui fan hua 	規範化	c=1 d=0.0139121 t=11992
gui gui 	龜龜	c=1 d=0.043067 t=11992
gui ze 	規則	c=5 d=2.07449 t=8774
gui zhi dao 	鬼知道	c=1 d=1 t=6498
gui zi 	櫃子	c=1 d=1 t=4561
gun 	滾	c=1 d=1 t=8918
guo 	過	c=6 d=0.120963 t=11579
guo 	鍋	c=1 d=0.582748 t=11992
guo chan 	國產	c=1 d=1 t=2866
guo chan 	鍋鏟	c=1 d=0.594521 t=11992
guo cheng 	過程	c=0 d=0.00134336 t=11992
guo de 	過得	c=2 d=1.00005 t=11561
guo fen 	過份	c=0 d=0.1 t=3796
guo fen le 	過分了	c=0 d=0.1 t=853
guo ji tian 	過幾天	c=1 d=1 t=4690
guo jia 	國家	c=1 d=1 t=4380
guo jie 	過節	c=1 d=1 t=10343
guo lai 	過來	c=8 d=0.278431 t=11992
guo le 	過了	c=5 d=1.06555 t=8613
guo liang tian 	過兩天	c=1 d=1 t=586
guo lv 	過濾	c=7 d=1 t=11784
guo nai nong 	過奶農	c=1 d=1 t=3671
guo nian 	過年	c=1 d=1 t=3426
guo nian 	過黏	c=1 d=1 t=3322
guo qi 	國企	c=1 d=1 t=10241
guo qi 	過期	c=1 d=1.00167 t=11795
guo qing 	國慶	c=1 d=1 t=3743
guo qu 	過去	c=1 d=1 t=9045
guo yi bu qu 	過意不去	c=1 d=0.139456 t=11992
guo zi duan 	過字段	c=1 d=1 t=11580
ha 	哈	c=13 d=0.0599047 t=11992
ha ha 	哈哈	c=5 d=0.0181334 t=11992
ha ha ha 	哈哈哈	c=1 d=0.543351 t=11992
hai 	海	c=1 d=1 t=6889
hai 	還	c=13 d=0.535262 t=11992
hai bu cuo 	還不錯	c=1 d=1 t=9723
hai bu hao shuo 	還不好說	c=1 d=1 t=5476
hai bu ru 	還不如	c=2 d=1 t=10873
hai bu shi 	還不是	c=3 d=1 t=11587
hai bu zhi dao 	還不知道	c=2 d=1.00062 t=11362
hai cha 	還差	c=1 d=1 t=8247
hai chi fan 	還吃飯	c=1 d=1 t=537
hai cun 	還存	c=1 d=0.0982736 t=11992
hai dei 	還得	c=1 d=0.1 t=7837
hai fang 	還放	c=0 d=0.1 t=5909
hai fang bian 	還方便	c=1 d=1 t=3331
hai fang zhe 	還放這	c=1 d=1 t=5910
hai gei 	還給	c=0 d=0.1 t=9995
hai gei wo shuo 	還給我說	c=1 d=1 t=9996
hai hao 	還好	c=14 d=1.00301 t=10410
hai hao ba 	還好吧	c=3 d=1 t=10696
hai jiao 	海椒	c=1 d=1 t=2627
hai jun 	海軍	c=1 d=1 t=3138
hai kai zhe mei 	還開着沒	c=1 d=1 t=2625
hai ke yi 	還可以	c=3 d=0.100008 t=9378
hai ke yi de 	還可以的	c=1 d=1 t=9379
hai ke yi ma 	還可以嗎	c=1 d=1 t=7218
hai ke yi zhe yang 	還可以這樣	c=1 d=1 t=1310
hai leng 	还冷	c=1 d=1 t=11314
hai mang bu 	還忙不	c=1 d=1 t=4751
hai mei 	還沒	c=5 d=0.12493 t=11992
hai mei da wan 	還沒打完	c=1 d=0.0198411 t=11992
hai mei gai 	還沒改	c=1 d=1 t=6707
hai mei hui wo 	還沒回我	c=1 d=1 t=4714
hai mei lai 	还没来	c=1 d=1 t=11820
hai mei qing 	還沒請	c=1 d=1 t=2457
hai mei que ding 	還沒確定	c=1 d=0.100018 t=8346
hai mei que ding hao 	還沒確定好	c=1 d=1 t=8347
hai mei shuo 	還沒說	c=1 d=1 t=8658
hai mian shi 	還面試	c=1 d=1 t=7195
hai mie 	還咩	c=1 d=1 t=10071
hai neng 	還能	c=3 d=1 t=10799
hai nian qing 	還年輕	c=1 d=1 t=10632
hai qu 	還去	c=1 d=1 t=5811
hai que 	還缺	c=1 d=1 t=8259
hai she zhi bu liao 	還設置不了	c=1 d=1 t=4082
hai shi 	海市	c=1 d=0.0528657 t=11992
hai shi 	還是	c=31 d=1.25988 t=11992
hai shi sha 	还是啥	c=1 d=1 t=11411
hai shi yao 	還是要	c=0 d=0.1 t=10356
hai shi yao you 	還是要有	c=1 d=1 t=10357
hai shi you 	還是有	c=1 d=0.622046 t=768
hai shi you qian 	還是有錢	c=1 d=1 t=769
hai shua dao 	還刷到	c=1 d=1 t=1335
hai shuo 	還說	c=1 d=0.113042 t=11992
hai ting 	還挺	c=0 d=0.100003 t=9945
hai ting fang bian 	還挺方便	c=1 d=1 t=9946
hai ting hao yong 	還挺好用	c=1 d=1 t=7844
hai wen 	還問	c=0 d=0.1 t=3445
hai wen wo 	還問我	c=1 d=1 t=3446
hai xiang zhe 	還想着	c=1 d=1 t=3631
hai xie le yi pian 	還寫了一篇	c=1 d=1 t=3999
hai xing 	還行	c=10 d=1.31449 t=10712
hai xu 	還需	c=0 d=0.1 t=6677
hai xu yao 	還需要	c=1 d=1 t=6678
hai yao 	還要	c=11 d=1.02307 t=10993
hai yao gai 	還要改	c=1 d=1 t=4989
hai yao zou ge 	還要走個	c=1 d=1 t=1490
hai you 	還有	c=13 d=0.167958 t=11992
hai you de bu 	還有的不	c=1 d=1 t=8318
hai you ge 	還有個	c=2 d=1.3588 t=11135
hai you ren 	還有人	c=1 d=0.1 t=7905
hai you ren bu 	還有人不	c=1 d=1 t=7906
hai you sha zi 	還有啥子	c=1 d=0.067881 t=11992
hai you shen me 	還有什麼	c=2 d=1 t=5952
hai you shen me de 	還有什麼的	c=1 d=1 t=482
hai you wen ti 	還有問題	c=1 d=1 t=6123
hai you yi si 	還有意思	c=1 d=1 t=10703
hai zai 	還再	c=6 d=1 t=11892
hai zai chuan 	還再傳	c=1 d=1 t=2176
hai zai shuo 	還在說	c=1 d=1 t=9986
hai zai wen 	還再問	c=1 d=1 t=8659
hai zao 	還早	c=1 d=0.0190631 t=11992
hai zao de hen 	還早得很	c=1 d=1 t=946
hai zao ne 	還早呢	c=1 d=1 t=1734
hai zhao 	還找	c=1 d=1 t=5594
hai zi 	孩子	c=1 d=0.27527 t=11992
han 	喊	c=4 d=0.890674 t=10778
han guo 	喊過	c=0 d=0.1 t=3570
han guo lai 	喊過來	c=1 d=1 t=3571
han kai fa 	喊開發	c=1 d=1 t=263
han ni 	喊你	c=5 d=1.52994 t=11874
han shu 	函數	c=1 d=1 t=2048
han ta 	喊他	c=6 d=1.04307 t=10518
han wo 	喊我	c=8 d=1.93552 t=10160
hang mu 	航母	c=0 d=0.1 t=7202
hang qing 	行情	c=1 d=1 t=5347
hao 	好	c=26 d=0.993079 t=11992
hao 	號	c=11 d=0.00141223 t=11992
hao ba 	好吧	c=4 d=1.09072 t=9445
hao chi 	好吃	c=1 d=0.55743 t=11992
hao chi de 	好吃的	c=1 d=1 t=11189
hao chu 	好處	c=0 d=0.1 t=3408
hao da 	好噠	c=1 d=1 t=4476
hao dai 	好歹	c=1 d=1 t=6603
hao de 	好得	c=1 d=1 t=415
hao de 	好的	c=2 d=1.02226 t=11976
hao dian 	好點	c=1 d=0.279964 t=9966
hao dian de 	好點的	c=2 d=1.00004 t=11989
hao dong xi 	好東西	c=0 d=0.1 t=10170
hao duo 	好多	c=3 d=1.00145 t=5459
hao duo qian 	好多錢	c=2 d=0.0756574 t=11992
hao hao 	好好	c=3 d=0.0845875 t=11992
hao hao dai zhe 	好好待着	c=0 d=0.1 t=11601
hao hua 	豪華	c=1 d=1 t=11249
hao ji bai 	好幾百	c=1 d=1 t=10872
hao ji ci 	好幾次	c=1 d=1 t=7275
hao ji ge 	好幾個	c=3 d=1.00004 t=10782
hao ji jia 	好幾家	c=1 d=1 t=10827
hao ji lie 	好激烈	c=1 d=1 t=6582
hao ji nian 	好幾年	c=1 d=1 t=9524
hao ji shi 	好幾十	c=1 d=1 t=2610
hao ji zhou 	好幾周	c=1 d=1 t=5995
hao jiu 	好久	c=9 d=1.87975 t=11530
hao jiu le 	好久了	c=0 d=0.1 t=5854
hao jiu xia ban 	好久下班	c=1 d=1 t=952
hao jiu zhi qian de 	好久之前的	c=1 d=1 t=9509
hao ka 	好卡	c=1 d=0.0629761 t=11992
hao kai 	好開	c=0 d=0.1 t=8220
hao kan 	好看	c=3 d=1 t=11927
hao keng 	好坑	c=1 d=1 t=4813
hao le 	好了	c=1 d=1 t=76
hao lei 	好嘞	c=2 d=1.00172 t=2360
hao ma 	好嘛	c=1 d=1 t=6078
hao me 	好麼	c=2 d=1 t=11338
hao nong 	好弄	c=0 d=0.1 t=5241
hao nong ma 	好弄嗎	c=1 d=1 t=5242
hao nv peng you 	好女朋友	c=1 d=0.394554 t=11992
hao shen 	好深	c=1 d=1 t=9551
hao suan 	好算	c=1 d=1 t=8321
hao wen 	好問	c=2 d=1.71534 t=7208
hao xiang 	好像	c=1 d=1 t=11623
hao xiang 	好象	c=7 d=0.0724221 t=11992
hao xiang shi 	好像是	c=4 d=1.02073 t=7059
hao xiang shi 	好象是	c=1 d=1 t=496
hao xiang ye mei sha 	好象也沒啥	c=1 d=1 t=7207
hao ya 	好呀	c=1 d=1 t=11303
hao yi dian 	好一點	c=2 d=1 t=6227
hao yi si 	好意思	c=1 d=1 t=10114
hao yong 	好用	c=1 d=0.102632 t=7843
he 	和	c=29 d=1.24493 t=11992
he 	喝	c=0 d=0.1 t=580
he bu he 	喝不喝	c=0 d=0.1 t=4933
he jiu 	喝酒	c=1 d=1 t=5106
he ni shuo 	和你說	c=1 d=1 t=2675
he shui 	喝水	c=1 d=1 t=5949
he suan 	核酸	c=2 d=1.93707 t=864
he xiao ya 	何曉亞	c=1 d=1 t=3563
he xie 	和諧	c=2 d=1.00097 t=8083
he yi he 	喝一喝	c=1 d=1 t=581
hei hei 	嘿嘿	c=2 d=1.00131 t=9178
hei se 	黑色	c=1 d=1 t=6317
hei si 	黑丝	c=1 d=1 t=11970
hen 	很	c=1 d=1 t=11588
hen bang 	很棒	c=1 d=1 t=6856
hen da 	很大	c=1 d=0.280832 t=11992
hen duo 	很多	c=5 d=1 t=9490
hen duo ci 	很多次	c=1 d=1 t=4458
hen gui 	很貴	c=0 d=0.00274607 t=11992
hen hao 	很好	c=0 d=0.100001 t=7693
hen hao jin 	很好進	c=1 d=1 t=5454
hen hao zhao 	很好找	c=1 d=1 t=7694
hen jiu mei 	很久没	c=0 d=0.1 t=11860
hen jiu mei qu le 	很久没去了	c=1 d=1 t=11861
hen kuai 	很快	c=2 d=1.0446 t=6401
hen man 	很慢	c=1 d=1 t=8739
hen qiang 	很強	c=0 d=0.1 t=3924
hen qiang da 	很強大	c=1 d=1 t=3925
hen shao 	很少	c=1 d=1 t=759
hen shu fu 	很舒服	c=1 d=1 t=9516
hen wan 	很晚	c=1 d=0.559898 t=11992
hen wan mei le 	很完美了	c=1 d=1 t=1925
hen wen 	很穩	c=1 d=1 t=4452
hen zi ran 	很自然	c=1 d=0.767205 t=11992
heng 	哼	c=1 d=1 t=6144
hh 	呵呵	c=1 d=1 t=543
hh 	哈哈	c=45 d=0.511708 t=11992
hhh 	哈哈哈	c=40 d=1.99255 t=11992
hhh zi dao 	哈哈哈自導	c=1 d=1 t=7358
hong 	紅	c=1 d=1 t=509
hong bao 	紅包	c=1 d=1 t=10414
hong deng 	紅燈	c=0 d=0.1 t=3884
hong deng ting 	紅燈停	c=1 d=1 t=3885
hong se 	紅色	c=3 d=1.50662 t=8628
hou 	厚	c=1 d=1 t=913
hou 	後	c=3 d=0.364219 t=11992
hou dai 	後代	c=1 d=1 t=3424
hou ge 	猴哥	c=0 d=0.1 t=6964
hou mian 	後面	c=6 d=1.00507 t=11652
hou mian kan 	後面看	c=1 d=1 t=7103
hou tian 	後天	c=1 d=0.96079 t=11992
hou xu 	後續	c=3 d=1 t=9194
hou xuan jian 	候選鍵	c=1 d=0.860708 t=11992
hu 	胡	c=2 d=1 t=9552
hu lao ban 	胡老闆	c=5 d=2.27305 t=11814
hu li 	狐狸	c=2 d=0.950429 t=11992
hu lian 	互聯	c=1 d=0.0224829 t=11992
hua 	華	c=1 d=1 t=11404
hua 	話	c=17 d=1.53008 t=9752
hua dang 	畫檔	c=1 d=1 t=6617
hua fei 	話費	c=3 d=2.4443 t=8361
hua fen 	劃分	c=1 d=0.0235177 t=11992
hua jun 	華軍	c=4 d=1.00737 t=11196
hua le 	化了	c=0 d=0.1 t=4935
hua le 	花了	c=1 d=1 t=4938
hua le na me duo qian mai de 	化了那麼多錢買的	c=1 d=1 t=4936
hua san 	華三	c=1 d=1 t=8508
hua shi jian 	花时间	c=1 d=1 t=11671
hua zhuang 	化妝	c=1 d=0.00395575 t=11992
huai le 	懷了	c=1 d=0.273898 t=11992
huan 	換	c=3 d=1.00013 t=11307
huan 	還	c=0 d=0.1 t=7130
huan bu men 	換部門	c=1 d=1 t=7392
huan cai 	幻彩	c=2 d=1 t=11842
huan cai lou 	幻彩樓	c=1 d=1 t=5123
huan ge 	換個	c=5 d=1.77247 t=9461
huan ge hao dian de gong zuo 	換個好點的工作	c=1 d=1 t=5382
huan gong zuo 	換工作	c=1 d=0.0448245 t=11992
huan jie 	環節	c=8 d=1.03208 t=11947
huan jing 	換景	c=1 d=1 t=51
huan jing 	環境	c=11 d=0.00142642 t=11992
huan jing bian liang 	環境變量	c=1 d=1 t=129
huan le 	換了	c=3 d=1.28938 t=11851
huan xiang mu 	換項目	c=1 d=1 t=787
huan yi fu 	換衣服	c=0 d=0.00291587 t=11992
huan yi ge 	換一個	c=2 d=1 t=9977
huang 	慌	c=0 d=0.00389686 t=11992
huang 	荒	c=2 d=1 t=7978
huang yang 	黃洋	c=1 d=1 t=783
hui 	回	c=2 d=1.03888 t=11992
hui 	會	c=4 d=0.173774 t=11992
hui bu hui 	會不會	c=1 d=1 t=9909
hui che 	會車	c=1 d=1 t=4392
hui chu xian 	會初現	c=1 d=1 t=15
hui da 	回答	c=0 d=0.1 t=7180
hui da de 	回答的	c=2 d=1.82696 t=7219
hui dao 	會到	c=1 d=1 t=6120
hui diao 	毀掉	c=0 d=0.1 t=9553
hui fu 	回復	c=0 d=0.1 t=835
hui fu le 	回復了	c=1 d=1 t=836
hui guan 	會管	c=0 d=0.1 t=860
hui hao 	會好	c=0 d=0.1 t=6137
hui hao dian 	會好點	c=1 d=1 t=920
hui hao yi dian 	會好一點	c=1 d=1 t=6138
hui lao jia 	回老家	c=1 d=1 t=3402
hui qu 	回去	c=14 d=1.20237 t=11712
hui se 	灰色	c=1 d=1 t=328
hui shi 	會使	c=0 d=0.1 t=3014
hui ta 	回她	c=1 d=1 t=9602
hui wo 	回我	c=1 d=1.09608 t=4721
hui yi 	會議	c=1 d=1 t=9350
hui yi shi 	會議室	c=1 d=0.0441572 t=11992
hui you 	會由	c=0 d=0.1 t=2747
hui you fan hui 	會由返回	c=1 d=1 t=2748
hui zong 	匯總	c=1 d=1 t=2424
hun de 	混得	c=1 d=1 t=781
hun shu 	混輸	c=2 d=1.40861 t=4480
huo 	或	c=2 d=1.00245 t=2919
huo dong 	活动	c=1 d=1 t=11598
huo dong 	活動	c=1 d=0.181772 t=11992
huo qu 	獲取	c=2 d=1.00175 t=4205
huo qu bu chu lai 	獲取不出來	c=1 d=1 t=3071
huo zhe 	或者	c=12 d=1.57698 t=9016
ifconfig 	ifconfig	c=0 d=0.1 t=11504
ji 	及	c=2 d=0.100103 t=3645
ji 	寄	c=1 d=1 t=4692
ji 	幾	c=2 d=1 t=9496
ji 	機	c=0 d=0.1 t=3977
ji 	集	c=2 d=1 t=11811
ji ba 	即把	c=0 d=0.1 t=7020
ji ba 	基鈀	c=1 d=0.024972 t=11992
ji ben 	基本	c=5 d=1.00003 t=11617
ji bian 	即便	c=0 d=0.1 t=1419
ji bian shi 	即便是	c=1 d=1 t=1420
ji bo 	瘠薄	c=1 d=1 t=1281
ji bu qing 	記不清	c=1 d=1 t=3602
ji cheng 	即成	c=0 d=0.1 t=0
ji chu 	基礎	c=1 d=0.0333733 t=11992
ji chu biao 	基礎表	c=3 d=1.00004 t=10678
ji ci 	幾次	c=2 d=1.92774 t=993
ji cu 	記錯	c=0 d=0.1 t=3956
ji cu o le 	記錯哦了	c=1 d=1 t=3957
ji de 	記得	c=4 d=0.103735 t=8970
ji de hen 	及得很	c=1 d=1 t=3646
ji dian 	幾點	c=4 d=1.00005 t=8892
ji fen 	幾分	c=1 d=1 t=6606
ji fen zhong 	幾分鐘	c=1 d=1 t=3337
ji ge 	幾個	c=9 d=1.02324 t=8954
ji ge ren 	幾個人	c=1 d=1 t=9685
ji hao 	幾號	c=1 d=1 t=8199
ji he 	集合	c=1 d=1 t=2339
ji hou sai 	季后赛	c=1 d=1 t=11630
ji hu 	幾乎	c=1 d=0.298197 t=11992
ji hui 	機會	c=1 d=0.00195457 t=11992
ji hui lai le 	機會來了	c=1 d=1 t=3288
ji huo 	激活	c=1 d=0.362403 t=11992
ji huo 	緝獲	c=1 d=0.360595 t=11992
ji ji 	積極	c=1 d=1.08228 t=7729
ji ji yi dian 	積極一點	c=1 d=1 t=7691
ji jia 	幾家	c=0 d=0.1 t=10826
ji jie 	季節	c=1 d=0.29671 t=11992
ji jin 	基金	c=1 d=1 t=6286
ji lie 	激烈	c=0 d=0.1 t=6581
ji lu 	記錄	c=11 d=1.08079 t=11948
ji lu xia 	記錄下	c=1 d=1 t=4017
ji nian 	幾年	c=1 d=1 t=5750
ji qian 	幾千	c=1 d=1 t=5385
ji ran 	既然	c=1 d=0.343009 t=11992
ji shu 	技術	c=1 d=0.0272561 t=11992
ji suan 	計算	c=1 d=1 t=4867
ji suan ji 	計算計	c=1 d=0.0221482 t=11992
ji sui 	幾歲	c=1 d=1 t=7063
ji tian 	幾天	c=1 d=0.1 t=8151
ji xing 	畸形	c=1 d=1 t=7454
ji xing 	記性	c=1 d=1 t=7455
ji xu 	繼續	c=5 d=1.83527 t=4910
ji yong 	即用	c=2 d=1.99005 t=3932
ji zhou 	幾周	c=0 d=0.1 t=5994
jia 	佳	c=0 d=0.1 t=5704
jia 	假	c=2 d=1.98511 t=9808
jia 	價	c=0 d=0.0193012 t=11992
jia 	加	c=14 d=1.06834 t=8509
jia 	家	c=1 d=0.0241714 t=11992
jia ban 	加班	c=11 d=1.70569 t=11696
jia ban bu 	加班不	c=1 d=1 t=10766
jia ban ma 	加班嗎	c=2 d=1.70822 t=5907
jia dao 	加到	c=1 d=1 t=5859
jia de 	加的	c=1 d=1 t=4670
jia ge 	價格	c=2 d=0.265523 t=11992
jia ge 	加個	c=2 d=0.100122 t=7999
jia ge ban 	加個班	c=2 d=1.00128 t=3247
jia gou shi 	架構師	c=1 d=1 t=9662
jia jia 	佳佳	c=0 d=0.1 t=8148
jia jia 	加加	c=0 d=0.1 t=10633
jia jia ban 	加加班	c=1 d=1 t=10634
jia jia mei 	佳佳妹	c=1 d=1 t=8149
jia jin lai 	加進來	c=2 d=1.00001 t=2671
jia jin qu 	加進去	c=1 d=1 t=291
jia kong 	架空	c=0 d=0.1 t=5484
jia kong le 	架空了	c=1 d=1 t=5485
jia le 	加了	c=6 d=1.00001 t=11431
jia li 	家裡	c=3 d=0.0169922 t=11992
jia ling 	嘉陵	c=1 d=1 t=11273
jia mi xie yi 	加密協議	c=1 d=0.0314297 t=11992
jia ru 	加入	c=1 d=1 t=2584
jia shang 	加上	c=3 d=1 t=11644
jia shang le 	加上了	c=1 d=1 t=1930
jia shi 	駕駛	c=1 d=1 t=9617
jia yi xia 	家一下	c=1 d=1 t=336
jia zai 	加載	c=1 d=1.0004 t=11380
jian 	建	c=7 d=1 t=8040
jian cha 	檢查	c=1 d=0.1 t=9759
jian cha xia 	檢查下	c=1 d=1 t=9760
jian cha yi xia 	檢查一下	c=1 d=1 t=245
jian dan 	建單	c=10 d=1.36785 t=8087
jian dan 	簡單	c=2 d=1 t=4201
jian dan de 	簡單地	c=0 d=0.1 t=1869
jian dan de hen 	簡單地很	c=1 d=1 t=1870
jian de 	建的	c=1 d=1 t=273
jian fei 	減肥	c=2 d=1.00014 t=10249
jian ge dan zi 	建個單子	c=1 d=1 t=3650
jian kang 	健康	c=1 d=0.631283 t=11992
jian kang xie 	健康些	c=1 d=1 t=10408
jian kong 	監控	c=6 d=0.206903 t=11742
jian kong 	鍵控	c=0 d=0.1 t=9716
jian le 	建了	c=1 d=1 t=8756
jian li 	簡歷	c=4 d=1.14537 t=11992
jian mian 	見面	c=1 d=1 t=3871
jian rong 	兼容	c=1 d=1 t=2430
jian shu 	简书	c=1 d=1 t=11419
jian ting 	監聽	c=1 d=1 t=6635
jian xia lai 	剪下來	c=1 d=1 t=9660
jian yi 	建議	c=6 d=1.00034 t=11540
jian yi qu xiao 	建議取消	c=1 d=1 t=9923
jian zhi 	簡直	c=1 d=0.43605 t=11992
jiang 	將	c=6 d=1 t=11261
jiang 	蔣	c=1 d=1 t=6593
jiang bei 	江北	c=0 d=0.1 t=5737
jiang bei yu bei 	江北渝北	c=1 d=1 t=5738
jiang di 	降低	c=1 d=1 t=8234
jiang li 	獎勵	c=0 d=0.1 t=8133
jiang li ni 	獎勵你	c=1 d=1 t=8134
jiao 	交	c=0 d=0.1 t=5226
jiao 	叫	c=2 d=0.0201897 t=11992
jiao 	教	c=1 d=1 t=6219
jiao 	腳	c=1 d=1 t=6323
jiao bo zi 	腳脖子	c=1 d=1 t=6305
jiao cheng 	教程	c=1 d=1 t=3967
jiao da 	交大	c=1 d=1 t=7048
jiao dan cuo wu 	交單錯誤	c=1 d=1 t=5227
jiao jiao 	教教	c=1 d=1 t=7732
jiao liu 	交流	c=1 d=1 t=2804
jiao man 	較慢	c=0 d=0.1 t=4616
jiao ni 	叫你	c=2 d=1 t=8743
jiao ni 	教你	c=1 d=1 t=3783
jiao pei 	交配	c=1 d=1 t=4429
jiao po le 	叫破了	c=1 d=0.202909 t=11992
jiao tong 	交通	c=1 d=1 t=8214
jiao tong fei 	交通費	c=1 d=1 t=8354
jiao wan 	較晚	c=0 d=0.1 t=8888
jiao wo 	教我	c=1 d=1 t=7854
jiao xia 	腳下	c=1 d=1 t=9095
jiao xun 	教訓	c=2 d=1 t=10072
jiao xun wo 	教訓我	c=1 d=1 t=5076
jiao zi 	餃子	c=1 d=1 t=5235
jie 	傑	c=1 d=1 t=9910
jie 	姐	c=0 d=0.067032 t=11992
jie 	截	c=0 d=0.1 t=2651
jie 	節	c=0 d=0.1 t=11676
jie bang 	解綁	c=8 d=1 t=8443
jie chu 	解除	c=0 d=0.1 t=4624
jie chu le mei 	解除了沒	c=1 d=1 t=4625
jie dan 	接單	c=7 d=2.19772 t=10478
jie dian 	接點	c=0 d=0.1 t=579
jie dian shui 	接點水	c=1 d=1 t=580
jie duan 	揭短	c=1 d=1 t=1522
jie duan 	階段	c=0 d=0.1 t=1522
jie duan chu li 	階段處理	c=1 d=1 t=1523
jie ge 	傑哥	c=2 d=1.65377 t=5478
jie ge tu kan xia 	截個圖看下	c=1 d=1 t=2652
jie gou 	結構	c=2 d=0.1 t=8688
jie guo 	結果	c=7 d=1 t=11765
jie guo shi 	結果是	c=1 d=1 t=8847
jie hun 	結婚	c=2 d=1.39455 t=3564
jie jia ri 	節假日	c=1 d=1 t=9820
jie jie 	姐姐	c=1 d=0.70822 t=11992
jie jin 	接進	c=1 d=1 t=3943
jie jue 	解決	c=3 d=1 t=11824
jie kou 	接口	c=35 d=1.06864 t=11316
jie kou fa xia 	接口發下	c=1 d=1 t=257
jie ni 	接你	c=1 d=1 t=9133
jie qi 	解氣	c=1 d=1 t=10767
jie ri 	節日	c=1 d=1 t=10341
jie ru 	接入	c=1 d=0.0239929 t=11992
jie shao 	介紹	c=2 d=1.99005 t=10254
jie shi 	介石	c=1 d=1 t=1075
jie shi 	解釋	c=0 d=0.1 t=6438
jie shi xia 	解釋下	c=1 d=1 t=6439
jie shu 	結束	c=3 d=1.07577 t=7240
jie tu 	截圖	c=2 d=1.08311 t=10086
jie ya 	解壓	c=2 d=1.99005 t=3931
jie ya suo 	解壓縮	c=1 d=1 t=1726
jin 	今	c=1 d=1 t=10077
jin 	進	c=3 d=1 t=11855
jin bu qu 	進不去	c=1 d=1 t=10172
jin cheng 	進程	c=1 d=1 t=1805
jin e 	金額	c=1 d=1 t=8226
jin lai 	進來	c=3 d=2.33166 t=424
jin liang 	盡量	c=2 d=1 t=10916
jin nian 	今年	c=2 d=1.33622 t=5609
jin po 	緊迫	c=1 d=1 t=1516
jin qu 	進去	c=4 d=0.105856 t=10547
jin ru 	進入	c=2 d=1 t=6245
jin shui 	進水	c=1 d=1 t=7687
jin tai nan 	進太難	c=1 d=1 t=8840
jin tian 	今天	c=16 d=0.0295994 t=11992
jin wan 	今晚	c=6 d=1.00286 t=11305
jin xing 	金星	c=1 d=1 t=11763
jin zao 	今早	c=1 d=1 t=10111
jing cai 	精彩	c=1 d=1 t=557
jing cha 	警察	c=1 d=1 t=9927
jing gai 	井蓋	c=1 d=1 t=3877
jing li 	經理	c=1 d=1 t=9537
jing tai 	靜態	c=1 d=1.09851 t=4511
jing tai tu pian 	靜態圖片	c=1 d=1 t=4509
jiu 	久	c=4 d=0.633001 t=11124
jiu 	就	c=51 d=1.21426 t=11992
jiu an 	就按	c=1 d=1 t=8305
jiu ba 	九八	c=1 d=1 t=10312
jiu bu hao 	就不好	c=1 d=1 t=3704
jiu bu neng 	就不能	c=0 d=0.1 t=2934
jiu bu neng ni 	就不能你	c=1 d=1 t=2935
jiu cha bu duo 	就差不多	c=1 d=0.0561347 t=11992
jiu chuan yi ge 	就傳一個	c=1 d=1 t=2842
jiu cun le 	就存了	c=1 d=1 t=7503
jiu dai zhe 	就帶着	c=1 d=1 t=8414
jiu di yi ge ba 	就第一個吧	c=1 d=1 t=9709
jiu dian 	九點	c=4 d=1 t=10112
jiu dian qian 	九點前	c=1 d=1 t=4863
jiu duo le 	就多了	c=1 d=1 t=397
jiu fen 	九分	c=1 d=1 t=6314
jiu gai 	就該	c=1 d=1 t=4326
jiu gen 	就跟	c=1 d=1 t=6566
jiu hao 	就好	c=2 d=1 t=10768
jiu hao le 	就好了	c=3 d=1.00011 t=9462
jiu huan 	就換	c=1 d=1 t=8010
jiu hui 	就回	c=1 d=1 t=308
jiu jiao 	就叫	c=1 d=1 t=194
jiu jie 	糾結	c=3 d=2.84144 t=4558
jiu jiu 	久久	c=0 d=0.1 t=10599
jiu kan 	就看	c=1 d=1 t=5774
jiu ke yi 	就可以	c=1 d=1 t=6433
jiu lei si 	就類似	c=3 d=1.00065 t=2371
jiu liu liu qiu 	就溜溜球	c=1 d=1 t=4096
jiu lou xia 	就樓下	c=1 d=1 t=4906
jiu mai 	就買	c=1 d=0.0405589 t=11992
